grouping,group,n_pairs,n_judgments,binary_accuracy,above_gold_accuracy,below_gold_accuracy,both_correct_fraction,above_word_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
event_family,static_placement,576,1152,0.5043402777777778,0.5625,0.4461805555555556,0.0625,0.6675347222222222,0.4869791666666667,0
event_family,target_crosses,384,768,0.5026041666666666,0.59375,0.4114583333333333,0.015625,0.8411458333333334,0.5026041666666666,0
event_family,reference_crosses,384,768,0.5026041666666666,0.5416666666666666,0.4635416666666667,0.020833333333333332,0.8723958333333334,0.52734375,0
event_family,target_moves_without_crossing,384,768,0.5026041666666666,0.5911458333333334,0.4140625,0.03125,0.8307291666666666,0.4947916666666667,0
event_family,both_move,576,1152,0.4991319444444444,0.5260416666666666,0.4722222222222222,0.001736111111111111,0.9626736111111112,0.5095486111111112,0
event_family,direct_label_control,96,192,0.53125,0.53125,0.53125,0.4583333333333333,0.4791666666666667,0.5520833333333334,0
event_family+evidence_type,static_placement|named_shelves,144,288,0.4756944444444444,0.5069444444444444,0.4444444444444444,0.04861111111111111,0.4340277777777778,0.4305555555555556,0
event_family+evidence_type,static_placement|measured_height,144,288,0.4930555555555556,0.5694444444444444,0.4166666666666667,0.05555555555555555,0.4722222222222222,0.5138888888888888,0
event_family+evidence_type,static_placement|numbered_steps,144,288,0.5069444444444444,0.5625,0.4513888888888889,0.05555555555555555,0.875,0.4965277777777778,0
event_family+evidence_type,static_placement|numbered_floors,144,288,0.5416666666666666,0.6111111111111112,0.4722222222222222,0.09027777777777778,0.8888888888888888,0.5069444444444444,0
event_family+evidence_type,target_crosses|named_shelves,96,192,0.5260416666666666,0.6458333333333334,0.40625,0.0625,0.7135416666666666,0.4947916666666667,0
event_family+evidence_type,target_crosses|measured_height,96,192,0.484375,0.6458333333333334,0.3229166666666667,0.0,0.734375,0.4791666666666667,0
event_family+evidence_type,target_crosses|numbered_steps,96,192,0.5,0.5729166666666666,0.4270833333333333,0.0,0.9270833333333334,0.53125,0
event_family+evidence_type,target_crosses|numbered_floors,96,192,0.5,0.5104166666666666,0.4895833333333333,0.0,0.9895833333333334,0.5052083333333334,0
event_family+evidence_type,reference_crosses|named_shelves,96,192,0.515625,0.4479166666666667,0.5833333333333334,0.07291666666666667,0.7447916666666666,0.5416666666666666,0
event_family+evidence_type,reference_crosses|measured_height,96,192,0.4947916666666667,0.6666666666666666,0.3229166666666667,0.0,0.796875,0.5260416666666666,0
event_family+evidence_type,reference_crosses|numbered_steps,96,192,0.5,0.53125,0.46875,0.010416666666666666,0.96875,0.5208333333333334,0
event_family+evidence_type,reference_crosses|numbered_floors,96,192,0.5,0.5208333333333334,0.4791666666666667,0.0,0.9791666666666666,0.5208333333333334,0
event_family+evidence_type,target_moves_without_crossing|named_shelves,96,192,0.4895833333333333,0.625,0.3541666666666667,0.052083333333333336,0.65625,0.4895833333333333,0
event_family+evidence_type,target_moves_without_crossing|measured_height,96,192,0.5,0.625,0.375,0.020833333333333332,0.7604166666666666,0.5,0
event_family+evidence_type,target_moves_without_crossing|numbered_steps,96,192,0.5104166666666666,0.5729166666666666,0.4479166666666667,0.03125,0.9375,0.4739583333333333,0
event_family+evidence_type,target_moves_without_crossing|numbered_floors,96,192,0.5104166666666666,0.5416666666666666,0.4791666666666667,0.020833333333333332,0.96875,0.515625,0
event_family+evidence_type,both_move|named_shelves,144,288,0.4965277777777778,0.4791666666666667,0.5138888888888888,0.0,0.9756944444444444,0.4930555555555556,0
event_family+evidence_type,both_move|measured_height,144,288,0.5,0.6041666666666666,0.3958333333333333,0.006944444444444444,0.8958333333333334,0.5069444444444444,0
event_family+evidence_type,both_move|numbered_steps,144,288,0.5,0.5208333333333334,0.4791666666666667,0.0,0.9791666666666666,0.5486111111111112,0
event_family+evidence_type,both_move|numbered_floors,144,288,0.5,0.5,0.5,0.0,1.0,0.4895833333333333,0
event_family+evidence_type,direct_label_control|direct_label_plain,48,96,0.5104166666666666,0.4791666666666667,0.5416666666666666,0.4583333333333333,0.4895833333333333,0.5416666666666666,0
event_family+evidence_type,direct_label_control|direct_label_positioned,48,96,0.5520833333333334,0.5833333333333334,0.5208333333333334,0.4583333333333333,0.46875,0.5625,0
event_family+event_subtype,static_placement|outer_shelves,192,384,0.4869791666666667,0.5416666666666666,0.4322916666666667,0.06770833333333333,0.6953125,0.484375,0
event_family+event_subtype,static_placement|inner_shelves,192,384,0.5104166666666666,0.578125,0.4427083333333333,0.052083333333333336,0.78125,0.4947916666666667,0
event_family+event_subtype,static_placement|middle_reference,192,384,0.515625,0.5677083333333334,0.4635416666666667,0.06770833333333333,0.5260416666666666,0.4817708333333333,0
event_family+event_subtype,target_crosses|full_crossing,192,384,0.5104166666666666,0.609375,0.4114583333333333,0.026041666666666668,0.8333333333333334,0.4921875,0
event_family+event_subtype,target_crosses|inner_crossing,192,384,0.4947916666666667,0.578125,0.4114583333333333,0.005208333333333333,0.8489583333333334,0.5130208333333334,0
event_family+event_subtype,reference_crosses|full_crossing,192,384,0.5026041666666666,0.546875,0.4583333333333333,0.026041666666666668,0.8619791666666666,0.53125,0
event_family+event_subtype,reference_crosses|inner_crossing,192,384,0.5026041666666666,0.5364583333333334,0.46875,0.015625,0.8828125,0.5234375,0
event_family+event_subtype,target_moves_without_crossing|upward_motion,192,384,0.5,0.5885416666666666,0.4114583333333333,0.036458333333333336,0.8333333333333334,0.4791666666666667,0
event_family+event_subtype,target_moves_without_crossing|downward_motion,192,384,0.5052083333333334,0.59375,0.4166666666666667,0.026041666666666668,0.828125,0.5104166666666666,0
event_family+event_subtype,both_move|order_preserved_up,192,384,0.4973958333333333,0.5208333333333334,0.4739583333333333,0.0,0.9661458333333334,0.5026041666666666,0
event_family+event_subtype,both_move|order_preserved_down,192,384,0.5026041666666666,0.53125,0.4739583333333333,0.005208333333333333,0.9609375,0.5130208333333334,0
event_family+event_subtype,both_move|order_reversed,192,384,0.4973958333333333,0.5260416666666666,0.46875,0.0,0.9609375,0.5130208333333334,0
event_family+event_subtype,direct_label_control|plain,48,96,0.5104166666666666,0.4791666666666667,0.5416666666666666,0.4583333333333333,0.4895833333333333,0.5416666666666666,0
event_family+event_subtype,direct_label_control|positioned,48,96,0.5520833333333334,0.5833333333333334,0.5208333333333334,0.4583333333333333,0.46875,0.5625,0
event_family+length_band,static_placement|compact,192,384,0.5104166666666666,0.5677083333333334,0.453125,0.08854166666666667,0.6822916666666666,0.5130208333333334,0
event_family+length_band,static_placement|standard,192,384,0.515625,0.5677083333333334,0.4635416666666667,0.06770833333333333,0.578125,0.4739583333333333,0
event_family+length_band,static_placement|expanded,192,384,0.4869791666666667,0.5520833333333334,0.421875,0.03125,0.7421875,0.4739583333333333,0
event_family+length_band,target_crosses|compact,128,256,0.51953125,0.609375,0.4296875,0.0390625,0.77734375,0.484375,0
event_family+length_band,target_crosses|standard,128,256,0.48828125,0.6015625,0.375,0.0078125,0.81640625,0.5078125,0
event_family+length_band,target_crosses|expanded,128,256,0.5,0.5703125,0.4296875,0.0,0.9296875,0.515625,0
event_family+length_band,reference_crosses|compact,128,256,0.51171875,0.53125,0.4921875,0.046875,0.81640625,0.55078125,0
event_family+length_band,reference_crosses|standard,128,256,0.50390625,0.5703125,0.4375,0.015625,0.84765625,0.5078125,0
event_family+length_band,reference_crosses|expanded,128,256,0.4921875,0.5234375,0.4609375,0.0,0.953125,0.5234375,0
event_family+length_band,target_moves_without_crossing|compact,128,256,0.49609375,0.5859375,0.40625,0.0078125,0.76953125,0.4921875,0
event_family+length_band,target_moves_without_crossing|standard,128,256,0.51953125,0.625,0.4140625,0.078125,0.80859375,0.4765625,0
event_family+length_band,target_moves_without_crossing|expanded,128,256,0.4921875,0.5625,0.421875,0.0078125,0.9140625,0.515625,0
event_family+length_band,both_move|compact,192,384,0.5,0.5104166666666666,0.4895833333333333,0.005208333333333333,0.9583333333333334,0.4921875,0
event_family+length_band,both_move|standard,192,384,0.4973958333333333,0.5520833333333334,0.4427083333333333,0.0,0.9453125,0.5130208333333334,0
event_family+length_band,both_move|expanded,192,384,0.5,0.515625,0.484375,0.0,0.984375,0.5234375,0
event_family+length_band,direct_label_control|compact,32,64,0.5,0.53125,0.46875,0.34375,0.375,0.625,0
event_family+length_band,direct_label_control|standard,32,64,0.59375,0.5625,0.625,0.53125,0.5625,0.546875,0
event_family+length_band,direct_label_control|expanded,32,64,0.5,0.5,0.5,0.5,0.5,0.484375,0
