axis,block,pairs,judgments,correct,accuracy,wilson_95_low,wilson_95_high,both_correct_pairs
north_south,direction_definition,16,32,23,0.71875,0.5462549057408342,0.8443541950225723,9
north_south,opposite_direction,8,16,14,0.875,0.639771727342413,0.9650225122567595,7
north_south,relative_map_position,16,32,16,0.5,0.33630882869327483,0.6636911713067252,1
north_south,cardinal,24,48,30,0.625,0.4836276351921527,0.747847332391318,14
north_south,observer_relative,24,48,24,0.5,0.36389330502679385,0.6361066949732062,1
east_west,direction_definition,16,32,23,0.71875,0.5462549057408342,0.8443541950225723,7
east_west,opposite_direction,8,16,15,0.9375,0.7167126242970107,0.9888806552353576,7
east_west,relative_map_position,16,32,14,0.4375,0.2816533111504036,0.6067440886314801,0
east_west,cardinal,24,48,48,1.0,0.9258998703338824,0.9999999999999999,24
east_west,observer_relative,24,48,24,0.5,0.36389330502679385,0.6361066949732062,0
