source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
close_far_definition,direction,word_to_definition,raw,close definition,far definition,54,108,0.8425925925925926,0.9814814814814815,0.7037037037037037,0.6388888888888888,0.3611111111111111,27.777777777777775,0.6851851851851852,0.2962962962962963,0.018518518518518517,0.0,0.0,0,0.8240740740740741
close_far_definition,direction,definition_to_word,raw,close,far,18,36,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+adjective_pair_id,word_to_definition|adj_0,raw,close definition,far definition,27,54,0.8703703703703703,0.9629629629629629,0.7777777777777778,0.5925925925925926,0.4074074074074074,18.51851851851852,0.7407407407407407,0.2222222222222222,0.037037037037037035,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+adjective_pair_id,word_to_definition|adj_1,raw,close definition,far definition,27,54,0.8148148148148149,1.0,0.6296296296296297,0.6851851851851852,0.3148148148148148,37.03703703703704,0.6296296296296297,0.37037037037037035,0.0,0.0,0.0,0,0.8148148148148148
close_far_definition,direction+adjective_pair_id,definition_to_word|adj_0,raw,close,far,9,18,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+adjective_pair_id,definition_to_word|adj_1,raw,close,far,9,18,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+modifier_id,word_to_definition|mod_0,raw,close definition,far definition,18,36,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,33.33333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+modifier_id,word_to_definition|mod_1,raw,close definition,far definition,18,36,0.8611111111111112,1.0,0.7222222222222222,0.6388888888888888,0.3611111111111111,27.777777777777775,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0,0.8055555555555556
close_far_definition,direction+modifier_id,word_to_definition|mod_2,raw,close definition,far definition,18,36,0.8333333333333333,0.9444444444444444,0.7222222222222222,0.6111111111111112,0.3888888888888889,22.222222222222225,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+modifier_id,definition_to_word|mod_0,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+modifier_id,definition_to_word|mod_1,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+modifier_id,definition_to_word|mod_2,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+definition_structure_id,word_to_definition|def_0,raw,close definition,far definition,18,36,0.75,1.0,0.5,0.75,0.25,50.0,0.5,0.5,0.0,0.0,0.0,0,0.7222222222222222
close_far_definition,direction+definition_structure_id,word_to_definition|def_1,raw,close definition,far definition,18,36,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,33.33333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0,0.9166666666666666
close_far_definition,direction+definition_structure_id,word_to_definition|def_2,raw,close definition,far definition,18,36,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5,0.5,0.0,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.0,0.0,0,0.8333333333333334
close_far_definition,direction+definition_structure_id,definition_to_word|def_0,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,1.0
close_far_definition,direction+definition_structure_id,definition_to_word|def_1,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,1.0
close_far_definition,direction+definition_structure_id,definition_to_word|def_2,raw,close,far,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_definition,direction+context_stem_id,word_to_definition|ctx_0,raw,close definition,far definition,18,36,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.8888888888888888
close_far_definition,direction+context_stem_id,word_to_definition|ctx_1,raw,close definition,far definition,18,36,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.5555555555555556,0.4444444444444444,11.111111111111116,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.0,0.0,0,0.8055555555555556
close_far_definition,direction+context_stem_id,word_to_definition|ctx_2,raw,close definition,far definition,18,36,0.6388888888888888,1.0,0.2777777777777778,0.8611111111111112,0.1388888888888889,72.22222222222223,0.2777777777777778,0.7222222222222222,0.0,0.0,0.0,0,0.7777777777777778
close_far_definition,direction+context_stem_id,definition_to_word|,raw,close,far,18,36,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
