scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,overall,all,3456,6912,0.8030960648148148,0.9074074074074074,0.6987847222222222,0.6310763888888888,0,0.7456597222222222,0.6979166666666666,0.7934027777777778,0.5167824074074074,0,0.5811631944444444,0.3738425925925926,0.7884837962962963,0.1701388888888889,0,0.6043113425925926
all,condition_id,physical_placement,1152,2304,0.8129340277777778,0.9618055555555556,0.6640625,0.6380208333333334,0,0.7335069444444444,0.7048611111111112,0.7621527777777778,0.4861111111111111,0,0.5842013888888888,0.4244791666666667,0.7439236111111112,0.17447916666666666,0,0.6488715277777778
all,condition_id,physical_placement_fronted,1152,2304,0.8389756944444444,0.8541666666666666,0.8237847222222222,0.7065972222222222,0,0.7374131944444444,0.6145833333333334,0.8602430555555556,0.5086805555555556,0,0.6115451388888888,0.4479166666666667,0.7751736111111112,0.2248263888888889,0,0.5151909722222222
all,condition_id,physical_placement_person_subject,1152,2304,0.7573784722222222,0.90625,0.6085069444444444,0.5486111111111112,0,0.7660590277777778,0.7743055555555556,0.7578125,0.5555555555555556,0,0.5477430555555556,0.24913194444444445,0.8463541666666666,0.1111111111111111,0,0.6488715277777778
all,target_order,person_first,1728,3456,0.8833912037037037,0.9861111111111112,0.7806712962962963,0.7714120370370371,0,0.7792245370370371,0.5972222222222222,0.9612268518518519,0.5584490740740741,0,0.6232638888888888,0.42997685185185186,0.8165509259259259,0.2465277777777778,0,0.6027199074074074
all,target_order,object_first,1728,3456,0.7228009259259259,0.8287037037037037,0.6168981481481481,0.49074074074074076,0,0.7120949074074074,0.7986111111111112,0.6255787037037037,0.47511574074074076,0,0.5390625,0.3177083333333333,0.7604166666666666,0.09375,0,0.6059027777777778
all,condition_id+target_order,physical_placement|person_first,576,1152,0.8697916666666666,0.9861111111111112,0.7534722222222222,0.7430555555555556,0,0.7708333333333334,0.5625,0.9791666666666666,0.5416666666666666,0,0.6371527777777778,0.5138888888888888,0.7604166666666666,0.2743055555555556,0,0.6163194444444444
all,condition_id+target_order,physical_placement|object_first,576,1152,0.7560763888888888,0.9375,0.5746527777777778,0.5329861111111112,0,0.6961805555555556,0.8472222222222222,0.5451388888888888,0.4305555555555556,0,0.53125,0.3350694444444444,0.7274305555555556,0.07465277777777778,0,0.6814236111111112
all,condition_id+target_order,physical_placement_fronted|person_first,576,1152,0.9357638888888888,0.9930555555555556,0.8784722222222222,0.8732638888888888,0,0.7612847222222222,0.5416666666666666,0.9809027777777778,0.5225694444444444,0,0.6657986111111112,0.5572916666666666,0.7743055555555556,0.3315972222222222,0,0.5572916666666666
all,condition_id+target_order,physical_placement_fronted|object_first,576,1152,0.7421875,0.7152777777777778,0.7690972222222222,0.5399305555555556,0,0.7135416666666666,0.6875,0.7395833333333334,0.4947916666666667,0,0.5572916666666666,0.3385416666666667,0.7760416666666666,0.11805555555555555,0,0.4730902777777778
