scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,overall,all,1024,2048,0.626953125,0.892578125,0.361328125,0.3154296875,0,0.619140625,0.669921875,0.568359375,0.30859375,0,0.583984375,0.8857421875,0.2822265625,0.1923828125,0,0.765625
all,condition_id,physical_placement,288,576,0.5902777777777778,0.9618055555555556,0.21875,0.21180555555555555,0,0.6006944444444444,0.7048611111111112,0.4965277777777778,0.2673611111111111,0,0.5017361111111112,0.9340277777777778,0.06944444444444445,0.020833333333333332,0,0.8715277777777778
all,condition_id,physical_placement_fronted,288,576,0.5954861111111112,0.8541666666666666,0.3368055555555556,0.2986111111111111,0,0.5642361111111112,0.6145833333333334,0.5138888888888888,0.2638888888888889,0,0.5364583333333334,0.9583333333333334,0.11458333333333333,0.0798611111111111,0,0.7586805555555556
all,condition_id,physical_placement_person_subject,288,576,0.5399305555555556,0.90625,0.1736111111111111,0.1597222222222222,0,0.6145833333333334,0.7743055555555556,0.4548611111111111,0.2777777777777778,0,0.5555555555555556,0.7048611111111112,0.40625,0.1736111111111111,0,0.8663194444444444
all,condition_id,direct_label,80,160,0.975,0.95,1.0,0.95,0,0.875,0.75,1.0,0.75,0,0.99375,0.9875,1.0,0.9875,0,0.475
all,condition_id,proximity_paraphrase,80,160,0.8375,0.675,1.0,0.675,0,0.64375,0.2875,1.0,0.2875,0,0.74375,1.0,0.4875,0.4875,0,0.3375
all,target_order,person_first,512,1024,0.734375,0.94921875,0.51953125,0.4765625,0,0.7373046875,0.556640625,0.91796875,0.474609375,0,0.6279296875,0.884765625,0.37109375,0.255859375,0,0.71484375
all,target_order,object_first,512,1024,0.51953125,0.8359375,0.203125,0.154296875,0,0.5009765625,0.783203125,0.21875,0.142578125,0,0.5400390625,0.88671875,0.193359375,0.12890625,0,0.81640625
all,condition_id+target_order,physical_placement|person_first,144,288,0.7048611111111112,0.9861111111111112,0.4236111111111111,0.4166666666666667,0,0.75,0.5625,0.9375,0.5,0,0.5138888888888888,0.9861111111111112,0.041666666666666664,0.027777777777777776,0,0.78125
all,condition_id+target_order,physical_placement|object_first,144,288,0.4756944444444444,0.9375,0.013888888888888888,0.006944444444444444,0,0.4513888888888889,0.8472222222222222,0.05555555555555555,0.034722222222222224,0,0.4895833333333333,0.8819444444444444,0.09722222222222222,0.013888888888888888,0,0.9618055555555556
all,condition_id+target_order,physical_placement_fronted|person_first,144,288,0.7743055555555556,0.9930555555555556,0.5555555555555556,0.5486111111111112,0,0.7361111111111112,0.5416666666666666,0.9305555555555556,0.4722222222222222,0,0.5555555555555556,0.9861111111111112,0.125,0.1111111111111111,0,0.71875
all,condition_id+target_order,physical_placement_fronted|object_first,144,288,0.4166666666666667,0.7152777777777778,0.11805555555555555,0.04861111111111111,0,0.3923611111111111,0.6875,0.09722222222222222,0.05555555555555555,0,0.5173611111111112,0.9305555555555556,0.10416666666666667,0.04861111111111111,0,0.7986111111111112
all,condition_id+target_order,physical_placement_person_subject|person_first,144,288,0.6458333333333334,0.9791666666666666,0.3125,0.3125,0,0.7638888888888888,0.6875,0.8402777777777778,0.5277777777777778,0,0.6597222222222222,0.625,0.6944444444444444,0.3194444444444444,0,0.8333333333333334
all,condition_id+target_order,physical_placement_person_subject|object_first,144,288,0.4340277777777778,0.8333333333333334,0.034722222222222224,0.006944444444444444,0,0.4652777777777778,0.8611111111111112,0.06944444444444445,0.027777777777777776,0,0.4513888888888889,0.7847222222222222,0.11805555555555555,0.027777777777777776,0,0.8993055555555556
all,condition_id+target_order,direct_label|person_first,40,80,0.95,0.9,1.0,0.9,0,0.8,0.6,1.0,0.6,0,0.9875,0.975,1.0,0.975,0,0.45
all,condition_id+target_order,proximity_paraphrase|person_first,40,80,0.8,0.6,1.0,0.6,0,0.5375,0.075,1.0,0.075,0,0.825,1.0,0.65,0.65,0,0.3
all,condition_id+target_order,direct_label|object_first,40,80,1.0,1.0,1.0,1.0,0,0.95,0.9,1.0,0.9,0,1.0,1.0,1.0,1.0,0,0.5
all,condition_id+target_order,proximity_paraphrase|object_first,40,80,0.875,0.75,1.0,0.75,0,0.75,0.5,1.0,0.5,0,0.6625,1.0,0.325,0.325,0,0.375
all,condition_id+target_order+object_id,physical_placement|person_first|obj_ball,32,64,0.578125,1.0,0.15625,0.15625,0,0.75,0.5625,0.9375,0.5,0,0.5,1.0,0.0,0.0,0,0.921875
all,condition_id+target_order+object_id,physical_placement|object_first|obj_ball,32,64,0.453125,0.90625,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.953125
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_ball,32,64,0.796875,1.0,0.59375,0.59375,0,0.6875,0.375,1.0,0.375,0,0.5,1.0,0.0,0.0,0,0.703125
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_ball,32,64,0.375,0.5625,0.1875,0.0625,0,0.40625,0.8125,0.0,0.0,0,0.515625,1.0,0.03125,0.03125,0,0.6875
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_ball,32,64,0.609375,0.9375,0.28125,0.28125,0,0.671875,0.34375,1.0,0.34375,0,0.640625,0.96875,0.3125,0.28125,0,0.828125
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_ball,32,64,0.4375,0.8125,0.0625,0.0,0,0.453125,0.90625,0.0,0.0,0,0.40625,0.65625,0.15625,0.0,0,0.875
all,condition_id+target_order+object_id,physical_placement|person_first|obj_bag,28,56,0.6428571428571429,1.0,0.2857142857142857,0.2857142857142857,0,0.7857142857142857,0.6071428571428571,0.9642857142857143,0.5714285714285714,0,0.5,1.0,0.0,0.0,0,0.8571428571428571
all,condition_id+target_order+object_id,physical_placement|object_first|obj_bag,28,56,0.5,1.0,0.0,0.0,0,0.48214285714285715,0.9642857142857143,0.0,0.0,0,0.44642857142857145,0.8928571428571429,0.0,0.0,0,1.0
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_bag,28,56,0.6071428571428571,1.0,0.21428571428571427,0.21428571428571427,0,0.75,0.7142857142857143,0.7857142857142857,0.5,0,0.5714285714285714,1.0,0.14285714285714285,0.14285714285714285,0,0.8928571428571429
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_bag,28,56,0.44642857142857145,0.8214285714285714,0.07142857142857142,0.03571428571428571,0,0.3392857142857143,0.6785714285714286,0.0,0.0,0,0.5,0.9642857142857143,0.03571428571428571,0.03571428571428571,0,0.875
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_bag,28,56,0.5178571428571429,1.0,0.03571428571428571,0.03571428571428571,0,0.75,0.8214285714285714,0.6785714285714286,0.5,0,0.7321428571428571,0.6428571428571429,0.8214285714285714,0.4642857142857143,0,0.9821428571428571
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_bag,28,56,0.42857142857142855,0.8571428571428571,0.0,0.0,0,0.42857142857142855,0.8571428571428571,0.0,0.0,0,0.42857142857142855,0.8571428571428571,0.0,0.0,0,0.9285714285714286
all,condition_id+target_order+object_id,physical_placement|person_first|obj_book,32,64,0.9375,1.0,0.875,0.875,0,0.859375,0.75,0.96875,0.71875,0,0.5,1.0,0.0,0.0,0,0.5625
all,condition_id+target_order+object_id,physical_placement|object_first|obj_book,32,64,0.484375,0.96875,0.0,0.0,0,0.4375,0.875,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.984375
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_book,32,64,0.890625,1.0,0.78125,0.78125,0,0.703125,0.53125,0.875,0.40625,0,0.5,1.0,0.0,0.0,0,0.609375
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_book,32,64,0.421875,0.84375,0.0,0.0,0,0.453125,0.875,0.03125,0.03125,0,0.5,1.0,0.0,0.0,0,0.921875
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_book,32,64,0.703125,1.0,0.40625,0.40625,0,0.875,0.96875,0.78125,0.75,0,0.6875,0.625,0.75,0.375,0,0.796875
