scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,mode+wording_family_id,original_baseline|original_placement,672,1344,0.5706845238095238,0.90625,0.23511904761904762,0.21428571428571427,0,0.609375,0.7247023809523809,0.49404761904761907,0.3020833333333333,0,0.5319940476190477,0.8526785714285714,0.2113095238095238,0.09821428571428571,0,0.8355654761904762
all,mode+wording_family_id,close_only|direct_labels,672,1344,0.5930059523809523,0.9508928571428571,0.23511904761904762,0.19642857142857142,0,0.6168154761904762,0.7395833333333334,0.49404761904761907,0.28869047619047616,0,0.5074404761904762,0.9940476190476191,0.020833333333333332,0.01636904761904762,0,0.8578869047619048
all,mode+wording_family_id,symmetric_pair|direct_labels,240,480,0.9708333333333333,0.9416666666666667,1.0,0.9416666666666667,0,0.85625,0.7125,1.0,0.7125,0,0.9770833333333333,0.9875,0.9666666666666667,0.9541666666666667,0,0.4708333333333333
all,mode+wording_family_id,close_only|proximity_synonyms,672,1344,0.3318452380952381,0.42857142857142855,0.23511904761904762,0.06845238095238096,0,0.35044642857142855,0.20684523809523808,0.49404761904761907,0.050595238095238096,0,0.5014880952380952,0.9568452380952381,0.046130952380952384,0.013392857142857142,0,0.5967261904761905
all,mode+wording_family_id,symmetric_pair|proximity_synonyms,240,480,0.5541666666666667,0.42083333333333334,0.6875,0.24583333333333332,0,0.50625,0.2,0.8125,0.1,0,0.4979166666666667,0.03333333333333333,0.9625,0.03333333333333333,0,0.36666666666666664
all,mode+wording_family_id,close_only|distance_short_long,672,1344,0.33630952380952384,0.4375,0.23511904761904762,0.025297619047619048,0,0.3601190476190476,0.2261904761904762,0.49404761904761907,0.005952380952380952,0,0.48586309523809523,0.9523809523809523,0.019345238095238096,0.001488095238095238,0,0.6011904761904762
all,mode+wording_family_id,symmetric_pair|distance_short_long,240,480,0.65,0.42916666666666664,0.8708333333333333,0.3,0,0.5645833333333333,0.2125,0.9166666666666666,0.12916666666666668,0,0.7416666666666667,0.6458333333333334,0.8375,0.48333333333333334,0,0.2791666666666667
all,mode+wording_family_id,close_only|distance_small_large,672,1344,0.31473214285714285,0.3943452380952381,0.23511904761904762,0.028273809523809524,0,0.3638392857142857,0.23363095238095238,0.49404761904761907,0.020833333333333332,0,0.48214285714285715,0.9523809523809523,0.011904761904761904,0.0,0,0.5796130952380952
all,mode+wording_family_id,symmetric_pair|distance_small_large,240,480,0.6083333333333333,0.3875,0.8291666666666667,0.21666666666666667,0,0.5479166666666667,0.2125,0.8833333333333333,0.09583333333333334,0,0.7875,0.925,0.65,0.575,0,0.2791666666666667
all,mode+wording_family_id+target_order,original_baseline|original_placement|person_first,336,672,0.6964285714285714,0.9880952380952381,0.40476190476190477,0.4017857142857143,0,0.7767857142857143,0.6547619047619048,0.8988095238095238,0.5535714285714286,0,0.5788690476190477,0.8601190476190477,0.2976190476190476,0.15773809523809523,0,0.7916666666666666
