source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
close_far_situation,condition_id,placement__compact,raw,close,far,52,104,0.6153846153846154,0.9615384615384616,0.2692307692307692,0.8461538461538461,0.15384615384615385,69.23076923076923,0.25,0.7115384615384616,0.019230769230769232,0.019230769230769232,0.0,0,0.5288461538461539
close_far_situation,condition_id,placement__setting,raw,close,far,52,104,0.5096153846153846,0.8076923076923077,0.21153846153846154,0.7980769230769231,0.20192307692307693,59.61538461538463,0.11538461538461539,0.6923076923076923,0.09615384615384616,0.09615384615384616,0.0,0,0.4230769230769231
close_far_situation,condition_id,placement__endpoint,raw,close,far,52,104,0.45192307692307687,0.6346153846153846,0.2692307692307692,0.6826923076923077,0.3173076923076923,36.53846153846154,0.07692307692307693,0.5576923076923077,0.19230769230769232,0.17307692307692307,0.0,0,0.49038461538461536
close_far_situation,condition_id,person_direct__compact,raw,close,far,24,48,0.625,1.0,0.25,0.875,0.125,75.0,0.25,0.75,0.0,0.0,0.0,0,0.5833333333333334
close_far_situation,condition_id,person_direct__setting,raw,close,far,24,48,0.5833333333333334,1.0,0.16666666666666666,0.9166666666666666,0.08333333333333333,83.33333333333333,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0,0.5208333333333334
close_far_situation,condition_id,person_direct__endpoint,raw,close,far,24,48,0.47916666666666663,0.6666666666666666,0.2916666666666667,0.6875,0.3125,37.5,0.08333333333333333,0.5833333333333334,0.20833333333333334,0.125,0.0,0,0.5
close_far_situation,condition_id+scenario_family,placement__compact|room_separation,raw,close,far,24,48,0.6666666666666666,1.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,66.66666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0,0.5833333333333334
close_far_situation,condition_id+scenario_family,placement__setting|room_separation,raw,close,far,24,48,0.5833333333333334,0.875,0.2916666666666667,0.7916666666666666,0.20833333333333334,58.33333333333333,0.20833333333333334,0.6666666666666666,0.08333333333333333,0.041666666666666664,0.0,0,0.4166666666666667
close_far_situation,condition_id+scenario_family,placement__endpoint|room_separation,raw,close,far,24,48,0.45833333333333337,0.625,0.2916666666666667,0.6666666666666666,0.3333333333333333,33.33333333333333,0.125,0.5,0.16666666666666666,0.20833333333333334,0.0,0,0.5208333333333334
close_far_situation,condition_id+scenario_family,person_direct__compact|room_separation,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
close_far_situation,condition_id+scenario_family,person_direct__setting|room_separation,raw,close,far,8,16,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.4375
close_far_situation,condition_id+scenario_family,person_direct__endpoint|room_separation,raw,close,far,8,16,0.4375,0.875,0.0,0.9375,0.0625,87.5,0.0,0.875,0.0,0.125,0.0,0,0.5
close_far_situation,condition_id+scenario_family,placement__compact|endpoints,raw,close,far,16,32,0.625,0.875,0.375,0.75,0.25,50.0,0.3125,0.5625,0.0625,0.0625,0.0,0,0.46875
close_far_situation,condition_id+scenario_family,placement__setting|endpoints,raw,close,far,16,32,0.40625,0.5625,0.25,0.65625,0.34375,31.25,0.0625,0.5,0.1875,0.25,0.0,0,0.5
close_far_situation,condition_id+scenario_family,placement__endpoint|endpoints,raw,close,far,16,32,0.40625,0.375,0.4375,0.46875,0.53125,-6.25,0.0625,0.3125,0.375,0.25,0.0,0,0.5
