grouping,group,n_probes,completion_choice_accuracy,close_accuracy,far_accuracy,paired_success,context_sensitivity_accuracy,context_sensitivity_paired_success,exact_ties,near_ties_1e6
condition_id,placement__compact,52,0.6153846153846154,0.9615384615384616,0.2692307692307692,0.25,0.5288461538461539,0.09615384615384616,0,0
condition_id,placement__setting,52,0.5096153846153846,0.8076923076923077,0.21153846153846154,0.11538461538461539,0.4230769230769231,0.057692307692307696,0,0
condition_id,placement__endpoint,52,0.4519230769230769,0.6346153846153846,0.2692307692307692,0.07692307692307693,0.49038461538461536,0.038461538461538464,0,0
condition_id,person_direct__compact,24,0.625,1.0,0.25,0.25,0.5833333333333334,0.16666666666666666,0,0
condition_id,person_direct__setting,24,0.5833333333333334,1.0,0.16666666666666666,0.16666666666666666,0.5208333333333334,0.08333333333333333,0,0
condition_id,person_direct__endpoint,24,0.4791666666666667,0.6666666666666666,0.2916666666666667,0.08333333333333333,0.5,0.0,0,0
condition_id+entity_type,placement__compact|person_object,40,0.55,0.95,0.15,0.125,0.4875,0.025,0,0
condition_id+entity_type,placement__setting|person_object,40,0.45,0.8,0.1,0.025,0.3625,0.0,0,0
condition_id+entity_type,placement__endpoint|person_object,40,0.4,0.625,0.175,0.025,0.4625,0.0,0,0
condition_id+entity_type,person_direct__compact|person_object,24,0.625,1.0,0.25,0.25,0.5833333333333334,0.16666666666666666,0,0
condition_id+entity_type,person_direct__setting|person_object,24,0.5833333333333334,1.0,0.16666666666666666,0.16666666666666666,0.5208333333333334,0.08333333333333333,0,0
condition_id+entity_type,person_direct__endpoint|person_object,24,0.4791666666666667,0.6666666666666666,0.2916666666666667,0.08333333333333333,0.5,0.0,0,0
condition_id+entity_type,placement__compact|object_object,12,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,0
condition_id+entity_type,placement__setting|object_object,12,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.625,0.25,0,0
condition_id+entity_type,placement__endpoint|object_object,12,0.625,0.6666666666666666,0.5833333333333334,0.25,0.5833333333333334,0.16666666666666666,0,0
condition_id+scenario_id,placement__compact|person_gym,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,placement__setting|person_gym,8,0.4375,0.875,0.0,0.0,0.4375,0.0,0,0
condition_id+scenario_id,placement__endpoint|person_gym,8,0.25,0.5,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,person_direct__compact|person_gym,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
