grouping,group,n_pairs,n_judgments,raw_accuracy,raw_closer_accuracy,raw_farther_accuracy,raw_both_correct,pmi_accuracy,pmi_closer_accuracy,pmi_farther_accuracy,pmi_both_correct,context_accuracy,context_closer_accuracy,context_farther_accuracy,context_both_correct,raw_close_choice_fraction
overall,all,2664,5328,0.484984984984985,0.7826576576576577,0.18731231231231232,0.010510510510510511,0.4750375375375375,0.031156156156156155,0.918918918918919,0.0,0.4380630630630631,0.6422672672672672,0.23385885885885885,0.02027027027027027,0.7976726726726727
numeric_information,absent,72,144,0.4652777777777778,0.875,0.05555555555555555,0.0,0.4930555555555556,0.027777777777777776,0.9583333333333334,0.0,0.4861111111111111,0.7777777777777778,0.19444444444444445,0.05555555555555555,0.9097222222222222
numeric_information,specific,2592,5184,0.4855324074074074,0.7800925925925926,0.1909722222222222,0.010802469135802469,0.47453703703703703,0.03125,0.9178240740740741,0.0,0.4367283950617284,0.6385030864197531,0.2349537037037037,0.019290123456790122,0.7945601851851852
numeric_information+length_band,absent|compact,24,48,0.4583333333333333,0.8333333333333334,0.08333333333333333,0.0,0.4791666666666667,0.0,0.9583333333333334,0.0,0.5,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.875
numeric_information+length_band,absent|standard,24,48,0.5,1.0,0.0,0.0,0.5,0.08333333333333333,0.9166666666666666,0.0,0.4375,0.5,0.375,0.041666666666666664,1.0
numeric_information+length_band,absent|expanded,24,48,0.4375,0.7916666666666666,0.08333333333333333,0.0,0.5,0.0,1.0,0.0,0.5208333333333334,0.9166666666666666,0.125,0.041666666666666664,0.8541666666666666
numeric_information+length_band,specific|compact,864,1728,0.4652777777777778,0.6238425925925926,0.30671296296296297,0.009259259259259259,0.4913194444444444,0.0,0.9826388888888888,0.0,0.42824074074074076,0.3576388888888889,0.4988425925925926,0.017361111111111112,0.6585648148148148
numeric_information+length_band,specific|standard,864,1728,0.4965277777777778,0.9930555555555556,0.0,0.0,0.4369212962962963,0.056712962962962965,0.8171296296296297,0.0,0.3715277777777778,0.6296296296296297,0.11342592592592593,0.0023148148148148147,0.9965277777777778
numeric_information+length_band,specific|expanded,864,1728,0.4947916666666667,0.7233796296296297,0.2662037037037037,0.023148148148148147,0.49537037037037035,0.037037037037037035,0.9537037037037037,0.0,0.5104166666666666,0.9282407407407407,0.09259259259259259,0.03819444444444445,0.7285879629629629
numeric_information+context_entity_order,absent|object_first,36,72,0.4305555555555556,0.8333333333333334,0.027777777777777776,0.0,0.4861111111111111,0.027777777777777776,0.9444444444444444,0.0,0.4722222222222222,0.75,0.19444444444444445,0.0,0.9027777777777778
numeric_information+context_entity_order,absent|person_first,36,72,0.5,0.9166666666666666,0.08333333333333333,0.0,0.5,0.027777777777777776,0.9722222222222222,0.0,0.5,0.8055555555555556,0.19444444444444445,0.1111111111111111,0.9166666666666666
numeric_information+context_entity_order,specific|object_first,1296,2592,0.4756944444444444,0.7353395061728395,0.21604938271604937,0.0023148148148148147,0.47878086419753085,0.010802469135802469,0.9467592592592593,0.0,0.4027777777777778,0.6381172839506173,0.16743827160493827,0.017746913580246913,0.7596450617283951
numeric_information+context_entity_order,specific|person_first,1296,2592,0.49537037037037035,0.8248456790123457,0.16589506172839505,0.019290123456790122,0.4702932098765432,0.05169753086419753,0.8888888888888888,0.0,0.470679012345679,0.6388888888888888,0.30246913580246915,0.020833333333333332,0.8294753086419753
numeric_information+length_band+context_entity_order,absent|compact|object_first,12,24,0.4166666666666667,0.8333333333333334,0.0,0.0,0.4583333333333333,0.0,0.9166666666666666,0.0,0.5,1.0,0.0,0.0,0.9166666666666666
numeric_information+length_band+context_entity_order,absent|compact|person_first,12,24,0.5,0.8333333333333334,0.16666666666666666,0.0,0.5,0.0,1.0,0.0,0.5,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334
numeric_information+length_band+context_entity_order,absent|standard|person_first,12,24,0.5,1.0,0.0,0.0,0.5,0.08333333333333333,0.9166666666666666,0.0,0.4583333333333333,0.6666666666666666,0.25,0.08333333333333333,1.0
numeric_information+length_band+context_entity_order,absent|standard|object_first,12,24,0.5,1.0,0.0,0.0,0.5,0.08333333333333333,0.9166666666666666,0.0,0.4166666666666667,0.3333333333333333,0.5,0.0,1.0
numeric_information+length_band+context_entity_order,absent|expanded|person_first,12,24,0.5,0.9166666666666666,0.08333333333333333,0.0,0.5,0.0,1.0,0.0,0.5416666666666666,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.9166666666666666
numeric_information+length_band+context_entity_order,absent|expanded|object_first,12,24,0.375,0.6666666666666666,0.08333333333333333,0.0,0.5,0.0,1.0,0.0,0.5,0.9166666666666666,0.08333333333333333,0.0,0.7916666666666666
numeric_information+length_band+context_entity_order,specific|compact|object_first,432,864,0.4583333333333333,0.5486111111111112,0.3680555555555556,0.0,0.4976851851851852,0.0,0.9953703703703703,0.0,0.4340277777777778,0.7152777777777778,0.1527777777777778,0.034722222222222224,0.5902777777777778
numeric_information+length_band+context_entity_order,specific|compact|person_first,432,864,0.4722222222222222,0.6990740740740741,0.24537037037037038,0.018518518518518517,0.4849537037037037,0.0,0.9699074074074074,0.0,0.4224537037037037,0.0,0.8449074074074074,0.0,0.7268518518518519
numeric_information+length_band+context_entity_order,specific|standard|person_first,432,864,0.4988425925925926,0.9976851851851852,0.0,0.0,0.42592592592592593,0.10185185185185185,0.75,0.0,0.4583333333333333,0.9166666666666666,0.0,0.0,0.9988425925925926
numeric_information+length_band+context_entity_order,specific|standard|object_first,432,864,0.49421296296296297,0.9884259259259259,0.0,0.0,0.4479166666666667,0.011574074074074073,0.8842592592592593,0.0,0.2847222222222222,0.3425925925925926,0.22685185185185186,0.004629629629629629,0.9942129629629629
numeric_information+length_band+context_entity_order,specific|expanded|person_first,432,864,0.5150462962962963,0.7777777777777778,0.2523148148148148,0.03935185185185185,0.5,0.05324074074074074,0.9467592592592593,0.0,0.53125,1.0,0.0625,0.0625,0.7627314814814815
numeric_information+length_band+context_entity_order,specific|expanded|object_first,432,864,0.47453703703703703,0.6689814814814815,0.2800925925925926,0.006944444444444444,0.49074074074074076,0.020833333333333332,0.9606481481481481,0.0,0.4895833333333333,0.8564814814814815,0.12268518518518519,0.013888888888888888,0.6944444444444444
