source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
closer_farther_person_movement,dataset,non_numeric,raw,closer,farther,100,200,0.53,0.99,0.07,0.96,0.04,92.0,0.06,0.93,0.01,0.0,0.0,0,0.445
closer_farther_person_movement,dataset,non_numeric,pmi,closer,farther,100,200,0.48,0.14,0.82,0.16,0.84,-68.0,0.0,0.14,0.82,0.04,0.0,0,0.445
closer_farther_person_movement,dataset,numeric_aligned,raw,closer,farther,2160,4320,0.48541666666666666,0.9574074074074074,0.013425925925925926,0.9719907407407408,0.028009259259259258,94.39814814814815,0.000462962962962963,0.9569444444444445,0.012962962962962963,0.02962962962962963,0.0,0,0.325
closer_farther_person_movement,dataset,numeric_aligned,pmi,closer,farther,2160,4320,0.4534722222222222,0.24583333333333332,0.6611111111111111,0.2923611111111111,0.7076388888888889,-41.52777777777778,0.0,0.24583333333333332,0.6611111111111111,0.09305555555555556,0.0,0,0.325
closer_farther_person_movement,dataset+length_band,non_numeric|compact,raw,closer,farther,20,40,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.425
closer_farther_person_movement,dataset+length_band,non_numeric|compact,pmi,closer,farther,20,40,0.5,0.05,0.95,0.05,0.95,-89.99999999999999,0.0,0.05,0.95,0.0,0.0,0,0.425
closer_farther_person_movement,dataset+length_band,non_numeric|standard,raw,closer,farther,20,40,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.125
closer_farther_person_movement,dataset+length_band,non_numeric|standard,pmi,closer,farther,20,40,0.47500000000000003,0.05,0.9,0.075,0.925,-85.00000000000001,0.0,0.05,0.9,0.05,0.0,0,0.125
closer_farther_person_movement,dataset+length_band,non_numeric|expanded,raw,closer,farther,20,40,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.6
closer_farther_person_movement,dataset+length_band,non_numeric|expanded,pmi,closer,farther,20,40,0.475,0.25,0.7,0.275,0.725,-44.99999999999999,0.0,0.25,0.7,0.05,0.0,0,0.6
closer_farther_person_movement,dataset+length_band,non_numeric|minimal,raw,closer,farther,20,40,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
closer_farther_person_movement,dataset+length_band,non_numeric|minimal,pmi,closer,farther,20,40,0.45,0.35,0.55,0.4,0.6,-19.999999999999996,0.0,0.35,0.55,0.1,0.0,0,0.5
closer_farther_person_movement,dataset+length_band,non_numeric|minimal_stationary,raw,closer,farther,20,40,0.6499999999999999,0.95,0.35,0.8,0.2,60.00000000000001,0.3,0.65,0.05,0.0,0.0,0,0.575
closer_farther_person_movement,dataset+length_band,non_numeric|minimal_stationary,pmi,closer,farther,20,40,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.575
closer_farther_person_movement,dataset+length_band,numeric_aligned|compact,raw,closer,farther,720,1440,0.4576388888888889,0.875,0.04027777777777778,0.9173611111111111,0.08263888888888889,83.47222222222221,0.001388888888888889,0.8736111111111111,0.03888888888888889,0.08611111111111111,0.0,0,0.37569444444444444
closer_farther_person_movement,dataset+length_band,numeric_aligned|compact,pmi,closer,farther,720,1440,0.4826388888888889,0.058333333333333334,0.9069444444444444,0.07569444444444444,0.9243055555555556,-84.86111111111111,0.0,0.058333333333333334,0.9069444444444444,0.034722222222222224,0.0,0,0.37569444444444444
closer_farther_person_movement,dataset+length_band,numeric_aligned|standard,raw,closer,farther,720,1440,0.4986111111111111,0.9972222222222222,0.0,0.9986111111111111,0.001388888888888889,99.72222222222223,0.0,0.9972222222222222,0.0,0.002777777777777778,0.0,0,0.28125
closer_farther_person_movement,dataset+length_band,numeric_aligned|standard,pmi,closer,farther,720,1440,0.41597222222222224,0.21666666666666667,0.6152777777777778,0.30069444444444443,0.6993055555555555,-39.86111111111111,0.0,0.21666666666666667,0.6152777777777778,0.16805555555555557,0.0,0,0.28125
closer_farther_person_movement,dataset+length_band,numeric_aligned|expanded,raw,closer,farther,720,1440,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.31805555555555554
closer_farther_person_movement,dataset+length_band,numeric_aligned|expanded,pmi,closer,farther,720,1440,0.4618055555555556,0.4625,0.46111111111111114,0.5006944444444444,0.49930555555555556,0.1388888888888884,0.0,0.4625,0.46111111111111114,0.0763888888888889,0.0,0,0.31805555555555554
closer_farther_person_movement,dataset+template_family,non_numeric|aligned_distance_phrases,raw,closer,farther,60,120,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.38333333333333336
closer_farther_person_movement,dataset+template_family,non_numeric|aligned_distance_phrases,pmi,closer,farther,60,120,0.48333333333333334,0.11666666666666667,0.85,0.13333333333333333,0.8666666666666667,-73.33333333333334,0.0,0.11666666666666667,0.85,0.03333333333333333,0.0,0,0.38333333333333336
closer_farther_person_movement,dataset+template_family,non_numeric|minimal_movement,raw,closer,farther,40,80,0.575,0.975,0.175,0.9,0.1,80.0,0.15,0.825,0.025,0.0,0.0,0,0.5375
closer_farther_person_movement,dataset+template_family,non_numeric|minimal_movement,pmi,closer,farther,40,80,0.475,0.175,0.775,0.2,0.8,-60.00000000000001,0.0,0.175,0.775,0.05,0.0,0,0.5375
closer_farther_person_movement,dataset+template_family,numeric_aligned|aligned_distance_phrases,raw,closer,farther,2160,4320,0.48541666666666666,0.9574074074074074,0.013425925925925926,0.9719907407407408,0.028009259259259258,94.39814814814815,0.000462962962962963,0.9569444444444445,0.012962962962962963,0.02962962962962963,0.0,0,0.325
closer_farther_person_movement,dataset+template_family,numeric_aligned|aligned_distance_phrases,pmi,closer,farther,2160,4320,0.4534722222222222,0.24583333333333332,0.6611111111111111,0.2923611111111111,0.7076388888888889,-41.52777777777778,0.0,0.24583333333333332,0.6611111111111111,0.09305555555555556,0.0,0,0.325
