dataset,grouping,group,n_pairs,n_contexts,raw_accuracy,raw_closer_accuracy,raw_farther_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_closer_accuracy,pmi_farther_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_closer_accuracy,context_farther_accuracy,context_both_correct,context_exact_ties
non_numeric,overall,all,100,200,0.53,0.99,0.07,0.06,0,0.48,0.14,0.82,0.0,0,0.445,0.62,0.27,0.08,0
numeric_aligned,overall,all,2160,4320,0.48541666666666666,0.9574074074074074,0.013425925925925926,0.000462962962962963,0,0.4534722222222222,0.24583333333333332,0.6611111111111111,0.0,0,0.325,0.225,0.425,0.000462962962962963,0
non_numeric,length_band,compact,20,40,0.5,1.0,0.0,0.0,0,0.5,0.05,0.95,0.0,0,0.425,0.05,0.8,0.05,0
non_numeric,length_band,standard,20,40,0.5,1.0,0.0,0.0,0,0.475,0.05,0.9,0.0,0,0.125,0.1,0.15,0.0,0
non_numeric,length_band,expanded,20,40,0.5,1.0,0.0,0.0,0,0.475,0.25,0.7,0.0,0,0.6,0.95,0.25,0.2,0
non_numeric,length_band,minimal,20,40,0.5,1.0,0.0,0.0,0,0.45,0.35,0.55,0.0,0,0.5,1.0,0.0,0.0,0
non_numeric,length_band,minimal_stationary,20,40,0.65,0.95,0.35,0.3,0,0.5,0.0,1.0,0.0,0,0.575,1.0,0.15,0.15,0
numeric_aligned,length_band,compact,720,1440,0.4576388888888889,0.875,0.04027777777777778,0.001388888888888889,0,0.4826388888888889,0.058333333333333334,0.9069444444444444,0.0,0,0.37569444444444444,0.15,0.6013888888888889,0.001388888888888889,0
numeric_aligned,length_band,standard,720,1440,0.4986111111111111,0.9972222222222222,0.0,0.0,0,0.41597222222222224,0.21666666666666667,0.6152777777777778,0.0,0,0.28125,0.02361111111111111,0.5388888888888889,0.0,0
numeric_aligned,length_band,expanded,720,1440,0.5,1.0,0.0,0.0,0,0.4618055555555556,0.4625,0.46111111111111114,0.0,0,0.31805555555555554,0.5013888888888889,0.13472222222222222,0.0,0
non_numeric,template_family,aligned_distance_phrases,60,120,0.5,1.0,0.0,0.0,0,0.48333333333333334,0.11666666666666667,0.85,0.0,0,0.38333333333333336,0.36666666666666664,0.4,0.08333333333333333,0
non_numeric,template_family,minimal_movement,40,80,0.575,0.975,0.175,0.15,0,0.475,0.175,0.775,0.0,0,0.5375,1.0,0.075,0.075,0
numeric_aligned,template_family,aligned_distance_phrases,2160,4320,0.48541666666666666,0.9574074074074074,0.013425925925925926,0.000462962962962963,0,0.4534722222222222,0.24583333333333332,0.6611111111111111,0.0,0,0.325,0.225,0.425,0.000462962962962963,0
non_numeric,object_id,obj_cone,20,40,0.55,1.0,0.1,0.1,0,0.475,0.15,0.8,0.0,0,0.45,0.7,0.2,0.15,0
non_numeric,object_id,obj_flag,20,40,0.5,1.0,0.0,0.0,0,0.45,0.0,0.9,0.0,0,0.4,0.55,0.25,0.0,0
non_numeric,object_id,obj_bicycle,20,40,0.525,0.95,0.1,0.05,0,0.475,0.35,0.6,0.0,0,0.45,0.6,0.3,0.05,0
non_numeric,object_id,obj_bench,20,40,0.55,1.0,0.1,0.1,0,0.5,0.2,0.8,0.0,0,0.45,0.65,0.25,0.1,0
non_numeric,object_id,obj_mailbox,20,40,0.525,1.0,0.05,0.05,0,0.5,0.0,1.0,0.0,0,0.475,0.6,0.35,0.1,0
numeric_aligned,object_id,obj_cone,432,864,0.49537037037037035,0.9768518518518519,0.013888888888888888,0.0023148148148148147,0,0.45717592592592593,0.36574074074074076,0.5486111111111112,0.0,0,0.36226851851851855,0.29398148148148145,0.4305555555555556,0.0023148148148148147,0
numeric_aligned,object_id,obj_flag,432,864,0.5,1.0,0.0,0.0,0,0.4710648148148148,0.03935185185185185,0.9027777777777778,0.0,0,0.3113425925925926,0.14814814814814814,0.47453703703703703,0.0,0
numeric_aligned,object_id,obj_bicycle,432,864,0.4675925925925926,0.9027777777777778,0.032407407407407406,0.0,0,0.42592592592592593,0.48842592592592593,0.36342592592592593,0.0,0,0.28587962962962965,0.15046296296296297,0.4212962962962963,0.0,0
numeric_aligned,object_id,obj_bench,432,864,0.4652777777777778,0.9143518518518519,0.016203703703703703,0.0,0,0.41550925925925924,0.33564814814814814,0.49537037037037035,0.0,0,0.3333333333333333,0.22453703703703703,0.44212962962962965,0.0,0
numeric_aligned,object_id,obj_mailbox,432,864,0.4988425925925926,0.9930555555555556,0.004629629629629629,0.0,0,0.4976851851851852,0.0,0.9953703703703703,0.0,0,0.33217592592592593,0.30787037037037035,0.35648148148148145,0.0,0
non_numeric,name_id,name_0,25,50,0.5,1.0,0.0,0.0,0,0.5,0.2,0.8,0.0,0,0.36,0.6,0.12,0.0,0
non_numeric,name_id,name_1,25,50,0.56,0.96,0.16,0.12,0,0.5,0.08,0.92,0.0,0,0.62,0.6,0.64,0.32,0
non_numeric,name_id,name_2,25,50,0.56,1.0,0.12,0.12,0,0.46,0.24,0.68,0.0,0,0.4,0.6,0.2,0.0,0
non_numeric,name_id,name_3,25,50,0.5,1.0,0.0,0.0,0,0.46,0.04,0.88,0.0,0,0.4,0.68,0.12,0.0,0
numeric_aligned,name_id,name_0,540,1080,0.49722222222222223,0.9944444444444445,0.0,0.0,0,0.4351851851851852,0.26481481481481484,0.6055555555555555,0.0,0,0.33796296296296297,0.3055555555555556,0.37037037037037035,0.0,0
numeric_aligned,name_id,name_1,540,1080,0.48333333333333334,0.9185185185185185,0.04814814814814815,0.001851851851851852,0,0.4648148148148148,0.17592592592592593,0.7537037037037037,0.0,0,0.36203703703703705,0.16111111111111112,0.562962962962963,0.001851851851851852,0
numeric_aligned,name_id,name_2,540,1080,0.4777777777777778,0.9555555555555556,0.0,0.0,0,0.4601851851851852,0.3814814814814815,0.5388888888888889,0.0,0,0.3453703703703704,0.13148148148148148,0.5592592592592592,0.0,0
numeric_aligned,name_id,name_3,540,1080,0.48333333333333334,0.9611111111111111,0.005555555555555556,0.0,0,0.4537037037037037,0.16111111111111112,0.7462962962962963,0.0,0,0.25462962962962965,0.30185185185185187,0.2074074074074074,0.0,0
non_numeric,length_band+object_id,compact|obj_cone,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.375,0.25,0.5,0.25,0
non_numeric,length_band+object_id,standard|obj_cone,4,8,0.5,1.0,0.0,0.0,0,0.375,0.0,0.75,0.0,0,0.125,0.25,0.0,0.0,0
non_numeric,length_band+object_id,expanded|obj_cone,4,8,0.5,1.0,0.0,0.0,0,0.5,0.25,0.75,0.0,0,0.625,1.0,0.25,0.25,0
non_numeric,length_band+object_id,compact|obj_flag,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.5,0.0,1.0,0.0,0
non_numeric,length_band+object_id,standard|obj_flag,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0
non_numeric,length_band+object_id,expanded|obj_flag,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.5,0.75,0.25,0.0,0
non_numeric,length_band+object_id,compact|obj_bicycle,4,8,0.5,1.0,0.0,0.0,0,0.5,0.25,0.75,0.0,0,0.5,0.0,1.0,0.0,0
non_numeric,length_band+object_id,standard|obj_bicycle,4,8,0.5,1.0,0.0,0.0,0,0.5,0.25,0.75,0.0,0,0.125,0.0,0.25,0.0,0
non_numeric,length_band+object_id,expanded|obj_bicycle,4,8,0.5,1.0,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.625,1.0,0.25,0.25,0
non_numeric,length_band+object_id,compact|obj_bench,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.25,0.0,0.5,0.0,0
non_numeric,length_band+object_id,standard|obj_bench,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.25,0.25,0.25,0.0,0
non_numeric,length_band+object_id,expanded|obj_bench,4,8,0.5,1.0,0.0,0.0,0,0.5,0.25,0.75,0.0,0,0.625,1.0,0.25,0.25,0
non_numeric,length_band+object_id,compact|obj_mailbox,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.5,0.0,1.0,0.0,0
non_numeric,length_band+object_id,standard|obj_mailbox,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.125,0.0,0.25,0.0,0
non_numeric,length_band+object_id,expanded|obj_mailbox,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.625,1.0,0.25,0.25,0
non_numeric,length_band+object_id,minimal|obj_cone,4,8,0.5,1.0,0.0,0.0,0,0.5,0.5,0.5,0.0,0,0.5,1.0,0.0,0.0,0
non_numeric,length_band+object_id,minimal_stationary|obj_cone,4,8,0.75,1.0,0.5,0.5,0,0.5,0.0,1.0,0.0,0,0.625,1.0,0.25,0.25,0
