method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,ties
raw,overall,all,7776,2592,0.3333333333333333,-0.15491508100749043,0,0,7776,0
pmi,overall,all,7776,2483,0.3193158436213992,-0.1646463024303501,1256,6520,0,0
raw,condition_id,explicit_distance,3888,1296,0.3333333333333333,-0.13308182950495692,0,0,3888,0
pmi,condition_id,explicit_distance,3888,1279,0.3289609053497942,-0.18859627609880864,398,3490,0,0
raw,condition_id,movement_description,2592,0,0.0,-0.5142343999059112,0,0,2592,0
pmi,condition_id,movement_description,2592,1204,0.4645061728395062,-0.010516719869625421,644,1948,0,0
raw,condition_id,orientation_control,1296,1296,1.0,0.49822380228175056,0,0,1296,0
pmi,condition_id,orientation_control,1296,0,0.0,-0.4010555465464239,214,1082,0,0
raw,length_band,compact,2592,864,0.3333333333333333,-0.14852688337365785,0,0,2592,0
pmi,length_band,compact,2592,862,0.3325617283950617,-0.1504910282422731,110,2482,0,0
raw,length_band,standard,2592,864,0.3333333333333333,-0.15181528004231276,0,0,2592,0
pmi,length_band,standard,2592,803,0.3097993827160494,-0.17436021465210266,377,2215,0,0
raw,length_band,expanded,2592,864,0.3333333333333333,-0.16440307960650066,0,0,2592,0
pmi,length_band,expanded,2592,818,0.31558641975308643,-0.16908766439667455,769,1823,0,0
raw,outcome,closer,2592,0,0.0,-0.3808004901640945,0,0,2592,0
pmi,outcome,closer,2592,386,0.14891975308641975,-0.1165628627770477,386,2206,0,0
raw,outcome,farther,2592,0,0.0,-0.5049646018003976,0,0,2592,0
pmi,outcome,farther,2592,2097,0.8090277777777778,0.10345607402699965,495,2097,0,0
raw,outcome,unchanged,2592,2592,1.0,0.42101984894202077,0,0,2592,0
pmi,outcome,unchanged,2592,0,0.0,-0.4808321185410023,375,2217,0,0
raw,unit_id,unit_metres,2592,864,0.3333333333333333,-0.17771288540996152,0,0,2592,0
pmi,unit_id,unit_metres,2592,783,0.3020833333333333,-0.15701002931153332,682,1910,0,0
raw,unit_id,unit_ft,2592,864,0.3333333333333333,-0.14752231243951822,0,0,2592,0
pmi,unit_id,unit_ft,2592,851,0.3283179012345679,-0.1684752257057914,256,2336,0,0
raw,unit_id,unit_inches,2592,864,0.3333333333333333,-0.13951004517299156,0,0,2592,0
pmi,unit_id,unit_inches,2592,849,0.3275462962962963,-0.16845365227372558,318,2274,0,0
raw,evidence_type,explicit_distance_comparison,3888,1296,0.3333333333333333,-0.13308182950495692,0,0,3888,0
