source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
closer_farther_parent_binary,contrast+description_family,closer_vs_farther|explicit,raw,closer,farther,1296,2592,0.49884259259259256,0.8016975308641975,0.19598765432098766,0.8028549382716049,0.19714506172839505,60.57098765432099,0.020833333333333332,0.7808641975308642,0.17515432098765432,0.023148148148148147,0.0,0,0.4988425925925926
closer_farther_parent_binary,contrast+description_family,closer_vs_farther|explicit,pmi,closer,farther,1296,2592,0.49344135802469136,0.08487654320987655,0.9020061728395061,0.09143518518518519,0.9085648148148148,-81.71296296296295,0.013888888888888888,0.07098765432098765,0.8881172839506173,0.02700617283950617,0.0,0,0.4988425925925926
closer_farther_parent_binary,contrast+description_family,closer_vs_farther|situation,raw,closer,farther,1296,2592,0.4972993827160494,0.9753086419753086,0.019290123456790122,0.9780092592592593,0.02199074074074074,95.60185185185186,0.005401234567901234,0.9699074074074074,0.013888888888888888,0.010802469135802469,0.0,0,0.4972993827160494
closer_farther_parent_binary,contrast+description_family,closer_vs_farther|situation,pmi,closer,farther,1296,2592,0.4645061728395061,0.21296296296296297,0.7160493827160493,0.24845679012345678,0.7515432098765432,-50.308641975308646,0.0015432098765432098,0.21141975308641975,0.7145061728395061,0.07253086419753087,0.0,0,0.4972993827160494
closer_farther_parent_binary,contrast+description_family,closer_vs_unchanged|explicit,raw,closer,unchanged,1296,2592,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,closer_vs_unchanged|explicit,pmi,closer,unchanged,1296,2592,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,closer_vs_unchanged|situation,raw,closer,unchanged,1296,2592,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,closer_vs_unchanged|situation,pmi,closer,unchanged,1296,2592,0.5254629629629629,0.9984567901234568,0.05246913580246913,0.9729938271604939,0.02700617283950617,94.59876543209877,0.05246913580246913,0.9459876543209876,0.0,0.0015432098765432098,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,farther_vs_unchanged|explicit,raw,farther,unchanged,1296,2592,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,farther_vs_unchanged|explicit,pmi,farther,unchanged,1296,2592,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,farther_vs_unchanged|situation,raw,farther,unchanged,1296,2592,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family,farther_vs_unchanged|situation,pmi,farther,unchanged,1296,2592,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|compact,raw,closer,farther,432,864,0.49768518518518523,0.5046296296296297,0.49074074074074076,0.5069444444444444,0.4930555555555556,1.388888888888884,0.027777777777777776,0.47685185185185186,0.46296296296296297,0.032407407407407406,0.0,0,0.4976851851851852
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|compact,pmi,closer,farther,432,864,0.5,0.0,1.0,0.0,1.0,-100.0,0.0,0.0,1.0,0.0,0.0,0,0.4976851851851852
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|standard,raw,closer,farther,432,864,0.4988425925925926,0.9652777777777778,0.032407407407407406,0.9664351851851852,0.03356481481481482,93.28703703703705,0.02546296296296296,0.9398148148148148,0.006944444444444444,0.027777777777777776,0.0,0,0.4988425925925926
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|standard,pmi,closer,farther,432,864,0.4930555555555556,0.125,0.8611111111111112,0.13194444444444445,0.8680555555555556,-73.61111111111111,0.02546296296296296,0.09953703703703703,0.8356481481481481,0.03935185185185185,0.0,0,0.4988425925925926
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|expanded,raw,closer,farther,432,864,0.5,0.9351851851851852,0.06481481481481481,0.9351851851851852,0.06481481481481481,87.03703703703705,0.009259259259259259,0.9259259259259259,0.05555555555555555,0.009259259259259259,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|explicit|expanded,pmi,closer,farther,432,864,0.48726851851851855,0.12962962962962962,0.8449074074074074,0.1423611111111111,0.8576388888888888,-71.52777777777777,0.016203703703703703,0.11342592592592593,0.8287037037037037,0.041666666666666664,0.0,0,0.5
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|situation|compact,raw,closer,farther,432,864,0.5034722222222222,0.9513888888888888,0.05555555555555555,0.9479166666666666,0.052083333333333336,89.58333333333333,0.016203703703703703,0.9351851851851852,0.03935185185185185,0.009259259259259259,0.0,0,0.5034722222222222
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|situation|compact,pmi,closer,farther,432,864,0.49768518518518523,0.08333333333333333,0.9120370370370371,0.08564814814814815,0.9143518518518519,-82.87037037037037,0.0,0.08333333333333333,0.9120370370370371,0.004629629629629629,0.0,0,0.5034722222222222
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|situation|standard,raw,closer,farther,432,864,0.48842592592592593,0.9745370370370371,0.0023148148148148147,0.9861111111111112,0.013888888888888888,97.22222222222223,0.0,0.9745370370370371,0.0023148148148148147,0.023148148148148147,0.0,0,0.48842592592592593
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|situation|standard,pmi,closer,farther,432,864,0.4363425925925926,0.0787037037037037,0.7939814814814815,0.1423611111111111,0.8576388888888888,-71.52777777777777,0.0,0.0787037037037037,0.7939814814814815,0.12731481481481483,0.0,0,0.48842592592592593
closer_farther_parent_binary,contrast+description_family+length_band,closer_vs_farther|situation|expanded,raw,closer,farther,432,864,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.5
