contrast,grouping,group,target_a_label,target_b_label,n_pairs,n_target_judgments,n_correct,context_sensitivity_accuracy,target_a_accuracy,target_b_accuracy,both_correct_count,both_correct_fraction,both_wrong_fraction,same_context_preferred_fraction,exact_ties,mean_a_margin,mean_b_margin
closer_vs_farther,overall,all,closer,farther,2592,5184,2184,0.4212962962962963,0.4494598765432099,0.3931327160493827,167,0.06442901234567901,0.22183641975308643,0.7137345679012346,0,-0.0026462959746519723,-0.010440879627878282
closer_vs_unchanged,overall,all,closer,unchanged,2592,5184,3145,0.6066743827160493,0.42476851851851855,0.7885802469135802,570,0.2199074074074074,0.006558641975308642,0.7735339506172839,0,-0.006353753584402579,0.054329324743629975
farther_vs_unchanged,overall,all,farther,unchanged,2592,5184,2933,0.5657793209876543,0.39351851851851855,0.7380401234567902,395,0.15239197530864199,0.020833333333333332,0.8267746913580247,0,-0.02325331833627489,0.05211023066514804
closer_vs_farther,length_band,compact,closer,farther,864,1728,873,0.5052083333333334,0.4050925925925926,0.6053240740740741,91,0.10532407407407407,0.09490740740740741,0.7997685185185185,0,-0.011999131490786871,0.014137762702173658
closer_vs_farther,length_band,standard,closer,farther,864,1728,574,0.33217592592592593,0.4444444444444444,0.2199074074074074,33,0.03819444444444445,0.3738425925925926,0.5879629629629629,0,0.003375874901259387,-0.031216473077182418
closer_vs_farther,length_band,expanded,closer,farther,864,1728,737,0.42650462962962965,0.4988425925925926,0.3541666666666667,43,0.04976851851851852,0.19675925925925927,0.7534722222222222,0,0.0006843686655715659,-0.01424392850862609
closer_vs_unchanged,length_band,compact,closer,unchanged,864,1728,1202,0.6956018518518519,0.8125,0.5787037037037037,343,0.39699074074074076,0.005787037037037037,0.5972222222222222,0,0.08491795165119348,-0.015243786490625806
closer_vs_unchanged,length_band,standard,closer,unchanged,864,1728,932,0.5393518518518519,0.22800925925925927,0.8506944444444444,68,0.0787037037037037,0.0,0.9212962962962963,0,-0.06821540674125706,0.11072195059171429
closer_vs_unchanged,length_band,expanded,closer,unchanged,864,1728,1011,0.5850694444444444,0.2337962962962963,0.9363425925925926,159,0.1840277777777778,0.013888888888888888,0.8020833333333334,0,-0.035763805663144146,0.06750981012980144
farther_vs_unchanged,length_band,compact,farther,unchanged,864,1728,1178,0.6817129629629629,0.8553240740740741,0.5081018518518519,318,0.3680555555555556,0.004629629629629629,0.6273148148148148,0,0.08539018324679798,-0.026177991181612015
farther_vs_unchanged,length_band,standard,farther,unchanged,864,1728,861,0.4982638888888889,0.20949074074074073,0.7870370370370371,29,0.03356481481481482,0.037037037037037035,0.9293981481481481,0,-0.08742647093755228,0.10991591780825898
farther_vs_unchanged,length_band,expanded,farther,unchanged,864,1728,894,0.5173611111111112,0.11574074074074074,0.9189814814814815,48,0.05555555555555555,0.020833333333333332,0.9236111111111112,0,-0.06772366731807038,0.07259276536879716
closer_vs_farther,description_family,explicit,closer,farther,1296,2592,1272,0.49074074074074076,0.6797839506172839,0.30169753086419754,131,0.10108024691358025,0.11959876543209877,0.779320987654321,0,0.015778620577888723,-0.020958758338733955
closer_vs_farther,description_family,situation,closer,farther,1296,2592,912,0.35185185185185186,0.2191358024691358,0.4845679012345679,36,0.027777777777777776,0.32407407407407407,0.6481481481481481,0,-0.02107121252719267,7.69990829773891e-05
closer_vs_unchanged,description_family,explicit,closer,unchanged,1296,2592,1538,0.5933641975308642,0.30169753086419754,0.8850308641975309,256,0.19753086419753085,0.010802469135802469,0.7916666666666666,0,-0.0522406628286397,0.07834649518316175
closer_vs_unchanged,description_family,situation,closer,unchanged,1296,2592,1607,0.6199845679012346,0.5478395061728395,0.6921296296296297,314,0.24228395061728394,0.0023148148148148147,0.7554012345679012,0,0.03953315565983454,0.0303121543040982
farther_vs_unchanged,description_family,explicit,farther,unchanged,1296,2592,1547,0.5968364197530864,0.3148148148148148,0.878858024691358,256,0.19753086419753085,0.0038580246913580245,0.7986111111111112,0,-0.05652716958228453,0.09312539363716855
farther_vs_unchanged,description_family,situation,farther,unchanged,1296,2592,1386,0.5347222222222222,0.4722222222222222,0.5972222222222222,139,0.10725308641975309,0.03780864197530864,0.8549382716049383,0,0.01002053290973475,0.011095067693127526
closer_vs_farther,description_family+length_band,explicit|compact,closer,farther,432,864,434,0.5023148148148148,0.5671296296296297,0.4375,57,0.13194444444444445,0.12731481481481483,0.7407407407407407,0,0.001925709346930186,-0.0026426903075642055
closer_vs_farther,description_family+length_band,explicit|standard,closer,farther,432,864,419,0.4849537037037037,0.7916666666666666,0.17824074074074073,33,0.0763888888888889,0.10648148148148148,0.8171296296296297,0,0.032998103786397864,-0.04142322501650563
closer_vs_farther,description_family+length_band,explicit|expanded,closer,farther,432,864,419,0.4849537037037037,0.6805555555555556,0.28935185185185186,41,0.09490740740740741,0.125,0.7800925925925926,0,0.012412048600338123,-0.01881035969213203
closer_vs_farther,description_family+length_band,situation|compact,closer,farther,432,864,439,0.5081018518518519,0.24305555555555555,0.7731481481481481,34,0.0787037037037037,0.0625,0.8587962962962963,0,-0.025923972328503925,0.030918215711911518
closer_vs_farther,description_family+length_band,situation|standard,closer,farther,432,864,155,0.17939814814814814,0.09722222222222222,0.26157407407407407,0,0.0,0.6412037037037037,0.3587962962962963,0,-0.02624635398387909,-0.021009721137859202
closer_vs_farther,description_family+length_band,situation|expanded,closer,farther,432,864,318,0.3680555555555556,0.31712962962962965,0.41898148148148145,2,0.004629629629629629,0.26851851851851855,0.7268518518518519,0,-0.011043311269194991,-0.009677497325120148
closer_vs_unchanged,description_family+length_band,explicit|compact,closer,unchanged,432,864,640,0.7407407407407407,0.7384259259259259,0.7430555555555556,213,0.4930555555555556,0.011574074074074073,0.49537037037037035,0,0.018113833058763434,0.011690740508061868
closer_vs_unchanged,description_family+length_band,explicit|standard,closer,unchanged,432,864,451,0.5219907407407407,0.04398148148148148,1.0,19,0.04398148148148148,0.0,0.9560185185185185,0,-0.13092126862870324,0.18542619242712302
closer_vs_unchanged,description_family+length_band,explicit|expanded,closer,unchanged,432,864,447,0.5173611111111112,0.12268518518518519,0.9120370370370371,24,0.05555555555555555,0.020833333333333332,0.9236111111111112,0,-0.043914552915979316,0.03792255261430034
closer_vs_unchanged,description_family+length_band,situation|compact,closer,unchanged,432,864,562,0.6504629629629629,0.8865740740740741,0.41435185185185186,130,0.30092592592592593,0.0,0.6990740740740741,0,0.15172207024362352,-0.04217831348931348
closer_vs_unchanged,description_family+length_band,situation|standard,closer,unchanged,432,864,481,0.5567129629629629,0.41203703703703703,0.7013888888888888,49,0.11342592592592593,0.0,0.8865740740740741,0,-0.005509544853810911,0.036017708756305555
closer_vs_unchanged,description_family+length_band,situation|expanded,closer,unchanged,432,864,564,0.6527777777777778,0.3449074074074074,0.9606481481481481,135,0.3125,0.006944444444444444,0.6805555555555556,0,-0.02761305841030898,0.09709706764530253
farther_vs_unchanged,description_family+length_band,explicit|compact,farther,unchanged,432,864,665,0.7696759259259259,0.8680555555555556,0.6712962962962963,236,0.5462962962962963,0.006944444444444444,0.44675925925925924,0,0.03418993425590021,0.008996859744743065
farther_vs_unchanged,description_family+length_band,explicit|standard,farther,unchanged,432,864,434,0.5023148148148148,0.004629629629629629,1.0,2,0.004629629629629629,0.0,0.9953703703703703,0,-0.1533550708382218,0.21313272802918046
farther_vs_unchanged,description_family+length_band,explicit|expanded,farther,unchanged,432,864,448,0.5185185185185185,0.07175925925925926,0.9652777777777778,18,0.041666666666666664,0.004629629629629629,0.9537037037037037,0,-0.05041637216453199,0.057246593137582145
farther_vs_unchanged,description_family+length_band,situation|compact,farther,unchanged,432,864,513,0.59375,0.8425925925925926,0.3449074074074074,82,0.18981481481481483,0.0023148148148148147,0.8078703703703703,0,0.13659043223769576,-0.06135284210796709
farther_vs_unchanged,description_family+length_band,situation|standard,farther,unchanged,432,864,427,0.49421296296296297,0.41435185185185186,0.5740740740740741,27,0.0625,0.07407407407407407,0.8634259259259259,0,-0.021497871036882752,0.006699107587337494
farther_vs_unchanged,description_family+length_band,situation|expanded,farther,unchanged,432,864,446,0.5162037037037037,0.1597222222222222,0.8726851851851852,30,0.06944444444444445,0.037037037037037035,0.8935185185185185,0,-0.08503096247160877,0.08793893760001217
closer_vs_farther,unit_id,unit_metres,closer,farther,864,1728,656,0.37962962962962965,0.5370370370370371,0.2222222222222222,47,0.05439814814814815,0.2951388888888889,0.6504629629629629,0,0.001957438748191904,-0.024350402393826732
closer_vs_farther,unit_id,unit_ft,closer,farther,864,1728,718,0.41550925925925924,0.42592592592592593,0.4050925925925926,55,0.06365740740740741,0.2326388888888889,0.7037037037037037,0,-0.0013183824442051075,-0.008881212798533615
closer_vs_farther,unit_id,unit_inches,closer,farther,864,1728,810,0.46875,0.3854166666666667,0.5520833333333334,65,0.07523148148148148,0.13773148148148148,0.7870370370370371,0,-0.008577944227942714,0.0019089763087254982
closer_vs_unchanged,unit_id,unit_metres,closer,unchanged,864,1728,1041,0.6024305555555556,0.37037037037037035,0.8344907407407407,180,0.20833333333333334,0.003472222222222222,0.7881944444444444,0,-0.023826591670513153,0.059732933011319905
closer_vs_unchanged,unit_id,unit_ft,closer,unchanged,864,1728,1028,0.5949074074074074,0.45717592592592593,0.7326388888888888,175,0.2025462962962963,0.01273148148148148,0.7847222222222222,0,0.002067625108692381,0.0474018933320487
closer_vs_unchanged,unit_id,unit_inches,closer,unchanged,864,1728,1076,0.6226851851851852,0.44675925925925924,0.7986111111111112,215,0.2488425925925926,0.003472222222222222,0.7476851851851852,0,0.0026977058086130354,0.05585314788752132
